"comm_code","comm_name","hh_tot","hh_reg","totpop","males","females","density","urban","fheads","sexratio","avg_hs","malbl15","mal1019","mal1564","mal65ov","fembl15","fem1019","fem1564","fem65ov","popbl15","pop1019","pop1564","pop65ov","fem1549","totmed","malmed","femmed","dependency","cw_ratio","buddhist","muslim","christian","oth_rel","smam_t","smam_m","smam_f","t_nevmar","t_married","t_widow","t_divsep","m_nevmar","m_married","m_widow","m_divsep","f_nevmar","f_married","f_widow","f_divsep","t_lit15","m_lit15","f_lit15","t_attend","m_attend","f_attend","m_noeduc","m_pnc","m_prim","m_lowsec","m_sec","m_high","f_noeduc","f_pnc","f_prim","f_lowsec","f_sec","f_high","m25_no","m25_pnc","m25_prim","m25_ls","m25_sec","m25_high","f25_no","f25_pnc","f25_prim","f25_ls","f25_sec","f25_high","m_see","m_speak","m_hear","m_move","m_mental","f_see","f_speak","f_hear","f_move","f_mental","t_active","m_active","f_active","t_primsec","t_secsec","t_tersec","m_primsec","m_secsec","m_tersec","f_primsec","f_secsec","f_tersec","t_uer","m_uer","f_uer","d_own","d_rent","d_free","d_oth","l_city","l_gen","l_cg","l_kero","l_cand","l_batt","l_oth","f_fire","f_char","f_keros","f_lpg","f_elec","f_none","f_oth","t_not","t_sew","t_sep","t_pit","t_oth","w_piped","w_tubed","w_protect","w_unprot","w_rain","w_spring","w_bought","w_other","wl_within","wl_near","wl_away","area","note","last_update"
"060309","Achar Leak","1300","1269","6271","2964","3307","990.2","100","27.5","89.6","4.7","1006","885","1845","113","976","926","2181","150","1982","1811","4026","263","1855","20","19","21.2","55.8","312.7","6219","27","25","0","25.7","27.2","24.5","39.9","51.5","5.5","3.1","43.1","54.8","1.2","1","37.2","48.7","9.1","4.9","87.13","93.21","82.02","42.02","44.12","40.2","15","633","672","821","147","83","28","818","648","804","137","36","6","242","296","400","95","68","22","385","317","316","79","20","16","3","2","20","3","20","4","8","13","4","44","51.12","37.83","29.14","10.14","60.73","22.73","14.26","63.01","36.63","5.31","58.06","1.46","1.54","1.36","1114","72","78","5","585","58","94","170","4","358","0","896","311","3","48","6","4","1","159","96","482","508","24","66","85","415","659","1","9","11","23","892","310","67","6.33318","","2014-03-28 17:48:52"
"160603","Aekakpheap","358","358","2437","1220","1217","102.9","0","12","100.2","6.8","537","238","645","38","495","310","687","35","1032","548","1332","73","608","17.3","17","17.5","83","657.9","335","1","16","2085","20.4","21.6","19.1","21.3","75.7","2.5","0.5","23.9","75.4","0.6","0.1","18.8","76","4.3","0.8","42.92","50.37","35.87","14.81","15.27","14.34","68","283","39","14","0","0","81","210","21","7","1","0","56","135","23","10","0","0","65","82","12","4","1","0","3","1","3","8","0","1","0","2","1","0","68.19","66.52","69.81","97.9","0.07","2.1","96.28","0.14","3.72","99.4","0.31","0.6","0","0","0","356","0","2","0","1","9","1","312","0","35","0","357","0","1","0","0","0","0","356","1","0","1","0","0","74","45","31","0","208","0","0","70","89","199","23.6861","","2014-03-28 17:48:52"
"040801","Akphivoadth","1829","1822","8703","4176","4527","130.9","0","21.6","92.2","4.7","1560","1184","2478","138","1548","1091","2775","204","3108","2275","5253","342","2317","19.7","18.5","21","65.7","400.1","8678","21","2","2","24.3","25.6","23.1","33.5","59.5","5.1","1.9","38.1","60.2","1","0.7","29.4","58.8","8.8","3","73.92","81.84","66.97","31.97","34.97","29.24","5","1249","933","665","8","4","12","1444","877","382","1","0","2","564","406","290","7","1","8","775","300","108","0","0","10","6","5","68","5","13","4","8","20","6","61.93","60.11","63.59","77.03","1.86","21.11","74.29","1.94","23.77","79.38","1.79","18.83","0","0","0","1784","29","9","0","24","63","362","1190","1","182","0","1652","146","7","15","0","1","1","1434","31","349","8","0","25","1129","101","397","53","38","14","65","714","718","390","66.5093","","2014-03-28 17:48:52"
"080601","Akreiy Ksatr","1932","1886","9650","4753","4897","614.4","0","26.1","97.1","4.9","1541","1238","2992","220","1422","1140","3189","286","2963","2378","6181","506","2594","21.8","20.4","23.5","56.1","377","8964","8","678","0","25.4","26.6","24.2","34.9","57.6","5.5","2","40.8","56.9","1.4","0.9","29.6","58.1","9.4","2.9","84.84","90.44","79.65","26.18","29.55","22.95","97","1159","1235","945","118","80","107","1536","1117","637","39","19","50","464","635","502","66","43","63","905","520","293","18","6","12","5","5","40","8","14","8","7","17","4","60.77","63.28","58.38","65.13","11.47","23.4","57.05","14.97","27.98","73.57","7.82","18.62","1.21","0.62","1.81","1754","32","85","15","541","93","196","184","7","865","0","1720","72","2","85","0","7","0","787","61","843","190","5","670","88","21","18","6","503","544","36","795","736","355","15.7062","","2014-03-28 17:48:52"
"050801","Amleang","1876","1869","8895","4382","4513","36.6","0","20.5","97.1","4.7","1854","1184","2375","153","1724","1072","2541","248","3578","2256","4916","401","2178","17.9","16.6","19.5","80.9","523.9","8887","8","0","0","22.9","24","21.9","29.1","62.1","6.6","2.2","34.4","63.4","1.1","1","24.3","60.9","11.6","3.2","67.11","76.46","58.62","29.73","32.45","27.16","73","1447","838","267","5","0","80","1448","613","149","5","0","45","577","353","151","4","0","62","604","193","64","2","0","12","2","4","37","6","7","2","4","14","2","58.81","57.26","60.27","95.56","0.64","3.79","93.05","0.86","6.09","97.79","0.45","1.76","1.97","2.18","1.77","1834","2","25","8","16","19","1","1260","3","570","0","1792","61","6","6","0","4","0","1693","12","31","46","87","5","312","38","28","1","1429","55","1","111","709","1049","242.809","","2014-03-28 17:48:52"
"220201","Ampil","2716","2706","12515","6230","6285","34.3","0","13.1","99.1","4.6","2258","1788","3829","143","2132","1749","3975","178","4390","3537","7804","321","3526","19.3","18.9","19.7","60.4","321.6","12505","10","0","0","22.6","23.3","21.9","30.3","66.4","2.4","0.8","32.6","66.3","0.8","0.4","28.1","66.6","4","1.3","53.78","65.46","42.62","24.76","26.32","23.23","56","2294","845","311","27","7","66","1912","594","100","5","1","36","950","341","186","19","3","34","607","140","31","4","1","32","4","6","32","7","53","5","11","13","4","67.32","67.02","67.62","92.02","2.72","5.25","88.5","2.93","8.57","95.44","2.52","2.03","0.22","0.25","0.19","2612","17","69","8","69","28","21","2169","45","373","1","2517","151","20","15","0","0","3","2616","58","26","4","2","106","365","107","90","31","1926","21","60","148","431","2127","364.619","","2014-03-28 17:48:52"
"171011","Ampil","1319","1318","6598","3288","3310","118.7","0","20.6","99.3","5","1274","895","1921","93","1083","840","2115","112","2357","1735","4036","205","1840","19.5","18.2","20.9","63.5","413.6","6598","0","0","0","23.9","24.7","23.2","35","61.3","2.8","1","38.1","60.9","0.7","0.2","32.2","61.6","4.6","1.6","57.09","66.24","48.81","29.38","31.36","27.51","130","1100","459","187","3","1","185","940","354","134","0","3","64","369","157","83","1","1","121","261","75","30","0","2","11","1","2","8","0","15","1","0","5","0","58.15","61.41","55.1","84.13","9.07","6.8","77.58","13.25","9.17","91.04","4.65","4.3","9.57","9.07","10.09","1301","0","16","1","17","46","8","527","9","711","0","1288","11","2","14","0","3","0","1091","197","16","14","0","58","1089","82","46","0","8","6","29","877","318","123","55.5674","","2014-03-28 17:48:52"
"030601","Ampil","3203","3171","14939","7248","7691","544","0","31.1","94.2","4.6","2468","1830","4402","378","2241","1625","4902","548","4709","3455","9304","926","4070","22.8","20.8","24.6","60.6","364.4","14886","25","27","1","24.5","25.5","23.4","31.2","60.6","6.3","1.9","35.3","62","1.5","1.2","27.6","59.5","10.4","2.6","84.12","91.4","77.72","30.03","34.48","25.92","126","2101","1728","1332","188","96","172","2306","1666","1057","119","37","83","877","936","744","124","63","133","1214","804","558","83","15","43","9","10","43","14","68","10","7","26","12","58.04","61.37","54.98","46.28","24.78","28.94","40.97","25.17","33.86","51.72","24.39","23.89","0.52","0.45","0.6","2959","88","114","10","1215","50","194","792","22","897","1","2932","56","1","164","18","0","0","1712","193","1087","136","43","914","1294","144","410","0","2","404","3","1382","1037","752","27.4603","","2014-03-28 17:48:52"
"200401","Ampil","1251","1247","5808","2759","3049","105.6","0","21.8","90.5","4.6","878","785","1767","114","878","764","1986","185","1756","1549","3753","299","1688","21.8","20.2","23.5","54.8","286.7","5806","2","0","0","24.4","24.5","24.2","33","60.9","5","1.1","35.9","62.6","1.1","0.4","30.5","59.4","8.4","1.7","61.23","77.62","47.03","29.82","34.07","26.06","3","850","602","375","17","0","11","795","428","187","6","1","2","399","261","144","7","0","10","329","99","52","2","1","5","4","2","17","6","6","4","5","10","5","64.42","61.6","66.92","96.3","0.21","3.49","94.2","0.07","5.74","98.02","0.33","1.65","0.06","0","0.11","1238","1","4","4","13","5","0","579","11","635","4","1245","0","0","0","0","2","0","1236","5","5","1","0","15","903","81","207","0","9","0","32","1087","71","89","54.9998","","2014-03-28 17:48:52"
"141201","Ampil Krau","1256","1253","4824","2269","2555","131.8","0","52.1","88.8","3.8","981","620","1147","141","912","519","1454","189","1893","1139","2601","330","1170","20.9","16.3","25.3","85.5","455.6","4824","0","0","0","22.2","23.7","20.8","21.3","69","7.5","2.3","27.6","70","1.2","1.3","16.3","68.2","12.5","3","84.78","91.38","79.61","33.97","39.62","29.13","25","991","524","161","4","1","36","1278","423","79","1","0","13","480","242","94","2","1","29","792","162","36","0","0","15","5","0","13","1","18","4","0","15","2","61.91","58.5","64.79","88.84","2.78","8.38","84.16","3.26","12.58","92.41","2.41","5.18","0.52","0.65","0.42","1141","3","108","1","48","10","3","405","2","785","0","1231","3","9","7","1","2","0","1048","22","93","6","84","66","1163","8","5","3","6","0","2","789","347","117","36.5978","","2014-03-28 17:48:52"
"020405","Ampil Pram Daeum","3840","3840","16178","8188","7990","86.2","0","14.8","102.5","4.2","3235","2032","4705","248","2915","1969","4839","236","6150","4001","9544","484","4187","18.9","18.3","19.4","69.5","488.9","16159","16","2","1","22.8","23.7","21.8","28.3","66.1","3.3","2.3","31.2","66.7","1","1.1","25.6","65.6","5.4","3.4","69.51","78.24","60.99","29.5","30.72","28.26","55","2962","1507","728","4","3","50","2828","1037","406","4","1","37","1168","732","460","3","3","39","1105","283","184","3","0","36","14","16","191","22","43","11","9","73","25","62.35","63.79","60.89","96.24","0.56","3.19","95.22","0.85","3.93","97.33","0.25","2.42","0.46","0.42","0.5","3653","17","154","16","62","15","18","3481","4","260","0","3778","19","9","33","0","1","0","2652","794","68","288","38","28","168","75","1358","105","1463","621","22","474","1423","1943","187.775","","2014-03-28 17:48:52"
"031101","Ampil Ta Pok","3213","3204","13713","6553","7160","505.2","0","27.2","91.5","4.3","2409","1584","3698","446","2230","1350","4378","552","4639","2934","8076","998","3458","24.2","20.9","26.5","69.8","397.3","13699","13","1","0","23.8","25.1","22.6","23.5","68.4","5.7","2.4","28.5","68.9","1.5","1.1","19.3","68","9.2","3.4","84.53","91.75","78.46","26.53","30.62","22.83","24","2766","1502","657","68","27","16","3259","1332","381","16","7","5","1475","811","344","56","17","9","2069","629","184","12","2","19","8","3","53","15","11","10","6","45","15","67.24","65.08","69.17","79.41","3.31","17.28","75.18","4.56","20.26","82.96","2.27","14.77","0.14","0.17","0.12","2980","22","200","2","686","27","38","984","8","1456","5","2991","79","1","125","2","5","1","2311","118","602","169","4","40","1780","163","813","7","9","359","33","1394","1004","806","27.1426","","2014-03-28 17:48:52"
"040501","Ampil Tuek","2250","2247","11938","5892","6046","109.1","0","15.2","97.5","5.3","2353","1712","3308","231","2256","1535","3506","284","4609","3247","6814","515","2976","18.4","17.4","19.5","75.2","435.5","11897","13","25","3","25.1","25.6","24.7","36.5","58.3","4.1","1.1","40","58.3","1.2","0.5","33.2","58.3","6.8","1.7","81.32","88.95","74.2","34.89","37.51","32.37","13","2470","1378","456","18","4","18","2773","950","224","8","2","7","1089","550","215","12","2","11","1369","254","81","7","1","23","14","7","37","15","14","5","7","34","10","54.91","56.42","53.45","93.87","3.45","2.69","94.92","1.84","3.24","92.8","5.08","2.12","0.07","0.04","0.11","2126","2","112","7","45","9","1","863","2","1325","2","2233","3","2","1","0","8","0","1945","12","1","255","34","12","19","3","62","0","2139","0","12","15","1974","258","109.404","","2014-03-28 17:48:52"
"080101","Ampov Prey","1349","1347","6185","2911","3274","447.9","0","27.2","88.9","4.6","1033","809","1771","107","938","728","2141","195","1971","1537","3912","302","1803","21.2","19.4","22.7","58.1","351.6","6164","1","20","0","23.9","24.6","23.3","33.2","57.9","5.2","3.7","36.5","61","0.8","1.7","30.6","55.3","8.7","5.4","79.28","87.38","72.77","27.48","33.43","22.31","8","930","737","422","27","4","22","1065","750","259","14","2","6","376","343","226","25","3","20","564","264","103","6","2","5","1","0","33","10","5","3","4","15","2","66.11","61.17","70.41","72.28","21.13","6.59","81.09","9.29","9.62","65.59","30.13","4.28","0.26","0.13","0.35","1285","2","60","0","184","45","78","376","3","661","0","1333","4","0","8","0","0","2","990","84","250","22","1","20","54","212","994","1","31","1","34","458","646","243","13.8075","","2014-03-28 17:48:52"
"020702","Andaeuk Haeb","1062","1059","5120","2536","2584","42.4","0","38","98.1","4.8","990","685","1456","90","918","629","1545","121","1908","1314","3001","211","1295","19.1","17.8","20.4","70.6","454.1","5038","56","26","0","24.6","25.6","23.5","33.6","59.1","4.6","2.8","38.8","58.3","1.1","1.8","28.7","59.8","7.8","3.7","68.09","79.5","57.5","28.67","31.27","26.17","6","985","458","205","10","1","7","918","321","105","3","1","5","381","218","106","7","1","7","381","80","39","3","1","19","1","1","71","15","12","5","4","10","5","59.93","61.33","58.58","88.46","3.02","8.52","87.08","3.8","9.11","89.85","2.24","7.91","1.45","1.64","1.26","981","5","72","1","15","2","1","853","0","187","1","1038","10","1","9","0","1","0","871","97","29","62","0","24","486","26","107","1","344","71","0","142","463","454","120.889","","2014-03-28 17:48:52"
"070804","Andoung Khmaer","2213","2190","10923","5452","5471","417.3","100","21.9","99.7","4.9","1699","1454","3569","184","1518","1299","3649","304","3217","2753","7218","488","3047","21.9","20.7","22.9","51.3","315.4","9207","1653","9","54","25.5","26.7","24.2","36.8","55.3","4.8","3","42.5","54.9","1","1.5","31.4","55.6","8.5","4.5","73.9","81.64","66.56","28.89","31.42","26.41","86","1462","1170","897","178","97","140","1432","978","700","80","36","61","581","488","454","143","70","111","650","352","275","47","12","32","11","8","53","13","21","5","3","22","5","58.02","63.26","52.88","49.33","15.1","35.57","45.51","17.68","36.81","53.84","12.06","34.1","3.14","2.84","3.49","2008","101","81","0","1290","31","47","692","14","114","2","1184","856","8","124","13","5","0","1072","498","512","101","7","920","158","77","594","2","112","327","0","924","587","679","26.1749","","2014-03-28 17:48:52"
"060112","Andoung Pou","1120","1119","5070","2666","2404","201","0","22.8","110.9","4.5","1098","873","1425","143","780","551","1480","144","1878","1424","2905","287","1225","19.5","16.8","23.3","74.5","412.2","5070","0","0","0","23.6","24.6","22.5","29","67.2","2.5","1.3","35.5","62.9","1","0.6","22.7","71.3","3.9","2.1","80.11","85.65","74.75","36.12","41.48","30.29","359","975","503","153","6","1","212","877","418","107","2","0","54","431","234","107","5","1","86","479","179","67","2","0","20","39","2","4","5","24","23","4","2","11","50.71","49.58","51.95","91.07","2.01","6.91","91.06","2.77","6.17","91.08","1.22","7.7","0.95","0.71","1.21","1105","11","3","0","18","12","5","467","2","615","0","1096","3","2","7","3","8","0","869","36","74","128","12","60","125","61","820","5","47","0","1","541","405","173","25.2201","","2014-03-28 17:48:52"
"200402","Andoung Pou","1228","1226","4827","2288","2539","179.1","0","24.9","90.1","3.9","784","622","1393","111","777","550","1597","165","1561","1172","2990","276","1311","23.5","20.3","25.8","61.4","316.6","4789","4","34","0","22.9","24.3","21.6","27.3","63.5","6.7","2.5","31.3","66","1.8","0.9","23.8","61.4","11","3.8","69.57","83.58","57.6","32.31","37.43","27.73","7","672","544","374","42","0","14","702","470","187","17","0","6","338","279","168","28","0","13","395","183","60","7","0","8","5","3","28","5","6","9","6","20","7","62.72","59.05","65.98","93.55","0.68","5.77","90.22","0.69","9.09","96.19","0.68","3.13","0.15","0.17","0.14","1207","1","12","6","9","4","1","726","0","485","1","1214","4","0","7","0","1","0","1163","32","26","5","0","44","1082","8","64","1","19","1","7","997","156","73","26.9487","","2014-03-28 17:48:52"
"040601","Andoung Snay","1207","1199","5588","2640","2948","147.5","0","24.7","89.6","4.6","1075","725","1466","99","985","660","1776","187","2060","1385","3242","286","1451","19.7","17.4","22.4","72.4","427.3","5024","553","10","1","22.8","24.6","21.5","29.8","60.7","6.9","2.6","34","63.8","1.2","1","26.5","58.2","11.4","3.9","72.05","83.19","63.17","30.72","35.31","26.73","16","819","560","343","24","14","19","860","518","267","21","9","14","317","256","183","21","11","14","366","242","150","16","8","11","4","3","31","4","14","1","2","11","6","62.5","60.06","64.62","70.25","5.11","24.64","67.36","6.59","26.05","72.6","3.91","23.5","0.41","0.38","0.43","1174","12","11","2","259","5","78","671","0","186","0","1133","35","6","23","0","1","1","926","92","168","5","8","24","436","129","433","20","40","74","43","361","306","532","37.8728","","2014-03-28 17:48:52"
"180201","Andoung Thma","1104","1101","5587","2741","2846","113.9","0","36.1","96.3","5","1060","794","1587","94","974","720","1696","176","2034","1514","3283","270","1420","19.3","18","20.8","70.2","443","4092","1486","9","0","23.2","25","21.3","31.1","59.7","6.4","2.8","38.1","59.5","0.7","1.8","24.8","59.9","11.5","3.7","76.75","87.39","67.2","31.15","34.8","27.67","47","954","581","340","25","7","47","973","473","198","10","2","21","364","287","179","17","3","22","414","192","69","8","2","11","3","4","36","8","17","4","8","28","2","53.27","54.98","51.65","80.94","2.76","16.29","75.89","3.8","20.31","86.04","1.71","12.24","2.07","1.91","2.23","1077","2","20","2","89","65","58","745","1","143","0","960","128","3","8","0","0","2","782","13","280","25","1","16","5","217","523","30","121","185","4","341","320","440","49.0448","","2014-03-28 17:48:52"
"200403","Andoung Trabaek","1471","1469","6118","3004","3114","129.5","0","34.2","96.5","4.2","999","841","1883","122","953","701","1978","183","1952","1542","3861","305","1668","22.8","20.7","24.6","58.5","331.5","6117","1","0","0","22.1","23.5","20.8","25.7","66.9","5.7","1.8","30.8","67.9","0.9","0.4","21","65.9","10.1","3","79.96","90.17","70.48","32.26","36.79","27.92","17","1053","788","417","40","9","29","1148","628","208","4","0","8","513","407","200","30","3","27","649","238","103","1","0","8","6","5","20","4","12","10","6","14","2","65.93","62.18","69.52","94.19","1.16","4.64","91.35","1.23","7.42","96.63","1.1","2.26","0.28","0.24","0.31","1439","2","27","1","3","5","16","474","8","961","2","1465","2","0","2","0","0","0","1437","21","9","2","0","36","1148","35","222","2","26","0","0","1034","330","105","47.2511","","2014-03-28 17:48:52"
"090101","Andoung Tuek","1173","1164","5723","2951","2772","14","0","36.9","106.5","4.9","1164","764","1744","43","1077","683","1604","91","2241","1447","3348","134","1371","18.6","18","19.1","70.9","578.4","5433","290","0","0","23.5","24.9","21.8","29.8","64.1","4.7","1.4","36.5","61.9","1","0.6","22.7","66.4","8.7","2.2","77.46","85.9","68.55","25.53","27.15","23.85","182","1121","347","299","27","11","272","937","259","129","6","2","121","441","194","149","18","6","191","372","94","57","2","2","9","3","3","18","1","9","4","3","12","2","60.62","68.41","52.47","70.95","4.1","24.94","71.24","4.95","23.81","70.54","2.88","26.58","3.8","1.72","6.64","1070","25","60","9","175","42","93","606","18","230","0","945","168","4","43","0","4","0","857","51","134","26","96","37","8","247","537","1","84","250","0","143","272","749","407.827","","2014-03-28 17:48:52"
"211006","Angk Kaev","782","780","3699","1820","1879","112.4","0","29.1","96.9","4.7","767","586","1004","49","706","474","1071","102","1473","1060","2075","151","921","17.8","16.6","19.8","78.3","439.7","3689","4","6","0","22.9","23.8","22.1","30","62.8","5.8","1.5","36.1","62","1.2","0.7","24.5","63.4","9.9","2.2","71.16","83.95","59.68","36.88","42.35","31.67","5","432","519","293","4","1","14","483","401","133","1","0","2","115","251","133","1","0","12","165","157","65","0","0","8","3","0","10","1","2","6","2","14","3","56.34","52.59","59.91","95.86","0.82","3.33","93.33","0.77","5.9","97.97","0.86","1.18","1.89","1.77","2","775","0","4","1","20","11","2","265","1","481","0","777","0","1","1","0","1","0","704","39","31","6","0","3","425","4","31","0","316","1","0","177","152","451","32.9098","","2014-03-28 17:48:52"
"211002","Angk Khnaor","896","891","3902","1879","2023","210.5","0","27.9","92.9","4.3","667","540","1117","95","658","412","1201","164","1325","952","2318","259","960","22.3","19","25.3","68.3","416.7","3902","0","0","0","23.4","25.4","21.7","26.9","62.9","6.7","3.5","35.1","62","2.1","0.7","19.6","63.7","10.7","6","72.02","85.73","59.85","30.75","35.62","26.23","18","585","476","262","4","5","26","605","339","129","8","2","16","247","231","163","4","5","22","300","138","88","6","1","6","6","0","13","7","5","9","1","8","5","64.87","62.66","66.92","93.34","0.88","5.77","91.22","1.1","7.68","95.2","0.7","4.1","0.83","0.5","1.12","887","0","4","0","50","4","1","331","2","503","0","883","0","2","5","0","1","0","843","27","17","2","2","6","31","19","70","4","603","0","158","102","200","589","18.5407","","2014-03-28 17:48:52"
"070101","Angk Phnum Touch","1014","1013","4286","2089","2197","249.3","0","25.6","95.1","4.2","766","634","1220","103","732","535","1263","202","1498","1169","2483","305","1022","20.6","18.4","23.5","72.6","407","4278","0","8","0","23.8","25.4","22","28.9","60.1","8.2","2.8","36.8","59.7","2.4","1.1","21.8","60.4","13.4","4.4","81.99","91.91","73.04","35.68","39.93","31.7","4","624","566","348","51","9","6","721","482","225","36","0","0","268","260","182","41","8","5","338","231","102","26","0","12","5","5","44","10","8","2","2","15","5","58.75","56.78","60.58","93.71","0.46","5.83","91.04","0.1","8.86","96.04","0.77","3.18","0.05","0.1","0","988","0","25","0","8","8","0","124","1","872","0","1001","6","0","4","0","2","0","796","122","92","2","1","6","113","6","3","1","884","0","0","135","404","474","17.1902","","2014-03-28 17:48:52"
"050301","Angk Popel","1210","1206","5947","2831","3116","316.6","0","22.5","90.9","4.9","990","799","1733","108","949","719","2000","167","1939","1518","3733","275","1707","20.8","19.4","21.9","59.3","342.7","5927","0","20","0","23.5","24.3","22.9","31.8","58","6.9","3.2","35","61.8","2","1.2","29.1","54.9","11.1","5","82.39","90.22","75.73","28.18","33.49","23.4","7","844","849","382","38","9","14","1014","814","206","13","1","5","333","394","242","27","4","11","480","310","138","5","0","9","2","3","24","11","8","2","2","17","9","68.1","63.71","72.04","61.62","32.88","5.49","69.72","20.08","10.2","55.19","43.06","1.76","0.34","0.39","0.31","1171","1","34","0","26","21","8","393","0","758","0","1174","6","12","12","0","2","0","1005","65","111","24","1","3","218","88","146","0","681","69","1","86","513","607","18.7866","","2014-03-28 17:48:52"
"210401","Angk Prasat","1609","1606","7612","3719","3893","128.1","0","28","95.5","4.7","1323","1021","2263","133","1295","895","2369","229","2618","1916","4632","362","1957","20.8","19.4","22.5","64.3","363.8","7592","1","19","0","23.6","24.7","22.4","30.6","61.8","5.1","2.5","36.6","61.2","0.8","1.4","25.1","62.3","9","3.6","74.65","86.64","63.59","33.27","37.98","28.76","30","976","1099","559","4","1","91","1129","779","220","1","0","25","395","536","266","3","0","70","554","279","74","0","0","11","7","5","20","8","17","7","5","21","6","64.08","60.13","67.86","96.13","1.34","2.53","95.06","0.37","4.56","97.04","2.16","0.81","2.24","2.48","2.02","1586","1","17","2","20","3","0","787","1","794","1","1587","0","2","16","1","0","0","1471","65","54","14","2","22","522","99","567","28","362","5","1","393","561","652","59.4431","","2014-03-28 17:48:52"
"200404","Angk Prasrae","1375","1373","5501","2620","2881","182.1","0","32.3","90.9","4","887","633","1607","126","857","556","1851","173","1744","1189","3458","299","1497","24.2","21.7","25.8","59.1","350","5494","7","0","0","23.2","24.5","22","24.7","67.9","5.2","2.2","28.6","69.2","1.7","0.5","21.3","66.7","8.3","3.6","84.4","93.08","76.98","28.71","31.89","25.9","10","1054","681","292","10","1","16","1277","505","169","2","0","8","523","381","188","8","1","14","742","254","101","1","0","10","4","2","28","3","9","9","2","13","1","70.4","67.72","72.78","91.28","1.43","7.29","88.54","1.58","9.88","93.55","1.31","5.14","0","0","0","1365","3","3","2","15","5","13","272","1","1067","0","1348","13","2","4","0","5","1","1291","22","55","4","1","47","1264","16","39","0","3","0","4","1055","157","161","30.2112","","2014-03-28 17:48:52"
"210901","Angk Ta Saom","3157","3151","14193","6757","7436","442.3","0","36.7","90.9","4.5","2429","1899","4023","305","2255","1652","4631","550","4684","3551","8654","855","3778","22.3","19.4","24.9","64","329.3","14179","12","1","1","24.8","25.9","23.9","31.1","59.7","6.9","2.3","36.2","61.2","1.7","0.9","26.8","58.5","11.2","3.5","86.16","93.78","79.79","34.48","38.75","30.69","41","1916","1643","1614","177","94","53","2324","1677","1303","107","40","23","677","833","914","137","65","38","1106","896","743","67","13","63","9","14","82","25","59","8","12","50","6","59.66","57.79","61.32","71.08","4.03","24.88","65.84","5.25","28.91","75.44","3.03","21.54","0.17","0.27","0.1","3057","53","35","6","810","27","41","862","6","1397","8","2631","196","8","276","28","9","3","1836","323","684","285","23","537","277","397","816","14","884","147","79","871","1258","1022","32.0863","","2014-03-28 17:48:52"
"200501","Angk Ta Sou","1290","1288","5111","2437","2674","384.7","0","38","91.1","4","1052","660","1264","121","968","432","1539","167","2020","1092","2803","288","1198","20.8","16.7","25.7","82.3","568.4","5111","0","0","0","22.5","23.9","21","20.8","66.9","8.8","3.6","28.9","66.6","2.7","1.8","14.2","67.1","13.7","5","72.73","86.71","61.37","31.2","38.11","24.98","5","835","539","275","6","6","9","915","359","138","4","0","2","350","281","159","4","3","8","520","176","80","4","0","13","2","3","20","7","19","1","0","9","1","66.43","59.99","72.22","95.48","0.8","3.71","92.92","0.85","6.23","97.4","0.76","1.84","0.72","0.93","0.57","1262","1","23","2","3","4","0","345","4","930","2","1273","2","4","6","0","3","0","1120","37","50","81","0","105","1118","25","25","3","6","0","6","822","399","67","13.2868","","2014-03-28 17:48:52"
"210601","Angkanh","1416","1413","6503","3189","3314","513.1","0","26.3","96.2","4.6","1098","876","1947","144","1026","770","2058","230","2124","1646","4005","374","1654","21.9","19.5","24.6","62.4","371.2","6484","19","0","0","24","24.4","23.3","30.7","59.2","7.3","2.9","35.8","60.4","2.2","1.6","26","58","11.9","4","85.13","92.64","78.28","32.53","36.97","28.35","7","1015","790","594","37","8","19","1281","662","334","9","6","4","483","394","294","27","6","18","762","280","163","4","1","5","1","6","16","9","6","1","6","12","0","61.75","59.11","64.22","87.73","2.56","9.7","86.31","1.96","11.74","88.96","3.09","7.96","0.95","1.06","0.86","1396","8","9","0","109","70","10","483","3","737","1","1350","25","0","33","0","3","2","1094","38","263","14","4","19","815","26","1","45","506","1","0","569","303","541","12.6748","","2014-03-28 17:48:52"
"211001","Angkanh","1134","1130","5385","2695","2690","347.3","0","19","100.2","4.7","963","735","1615","117","893","611","1627","170","1856","1346","3242","287","1307","21.2","19.5","23.6","66.1","375.7","5380","4","0","1","23.2","24.3","22","28.9","65.9","3.6","1.6","34.6","64.2","0.7","0.5","23.4","67.5","6.4","2.7","80.14","90.36","70.28","38.01","42.36","33.67","20","773","787","458","25","8","24","832","582","307","5","0","10","261","457","241","20","6","18","377","255","181","2","0","11","4","0","15","3","9","2","2","14","5","58.49","55.51","61.44","95.07","0.69","4.24","91.59","0.89","7.52","98.19","0.51","1.3","3.75","3.74","3.77","1120","3","7","0","40","14","1","438","1","636","0","1126","0","1","3","0","0","0","1055","31","41","1","2","7","287","54","117","52","488","54","71","165","294","671","15.5068","","2014-03-28 17:48:52"
