"old_shape_id","map_id","developer","adjustment_classification","dev_nationality","dev_address","intended_purpose","inv_intention","contract_duration_years","original_size_hectare","size_reference","contracting_authority","director","director_nationality","contract_date","sub_decree_granting_date","province","district","commune","municipality","land_conv","legal_documents","land_utilization_plan","eia_status","data_classification","reference","last_update","language","published_status"
"199","elc_gdc_273","(Cambodia) Cane and Sugar Valley","No evidence of adjustment","Thai","53, Preah Monivong Boulevard, Sangkat Srahchak, Khan Doun Penh, Phnom Penh, Cambodia","Agro-industry; Processing factory","Sugarcane;Processing plant","70","6595","MAFF","MAFF","Krisda Monthiencichienchai","Thai","2008-02-24","Not found","Oddar Meanchey","Samraong","Koun Kriel","Not found","Not found","<ul> <li>Application for investment dated 08 March 2007 by company</li> <li>Minute dated 22 June 2007 on study and evaluation on the proposed area for sugar plantation and construction processing factory located in O Kreal Commune, Samrong District, Uddor Meanchey Province</li> <li>Letter No. 1475 SCN dated 05 October 2007 by Council Minister on the principle approval for 6,595 hectares located in O Kreal Commune, Samrong District, Uddor Meanchey Province for sugar plantation and construction processing factory</li> <li>Letter No. 84 SCN dated 21 January 2008 by Council Minister</li> <li>Letter No. 6962/594 KSK.NP.PK dated 18 December 2007 by Ministry of Agriculture, Forestry, and Fisheries on the request of Full Power Delegation for signing contract on 6,595 hectares.</li> <li>Letter No. 130 SBT dated 28 December 2007 by Royal Government on the full power delegation to Minister of Ministry of Agriculture, Forestry, and Forestry to sign the contract with company.</li> <li>Signed the contract on 24 January 2008 with Ministry of Agriculture, Forestry, and Fisheries</li> </ul>
","Included in master plan","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Cane_and_Sugar_Valley_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Cane_and_Sugar_Valley__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_132__23.08.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Cane_and_Sugar_Valley_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Cane_and_Sugar_Valley__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_132__23.08.2012.pdf;</ul>","2015-10-05 00:00:00","English","1"
"180","elc_gdc_253","(Cambodia) Farmer Investment Co. Ltd.","No evidence of adjustment","Cambodian","Beong Kok Village, Kampong Cham District, Kampong Cham Province","Agro-industry","Unspecified crops;Animal husbandry","70","945","MAFF","MAFF","Svay Sothy","Cambodian","2007-09-07","Not found","Kampong Thom","Santuk","Kraya","Not found","Not found","Not found","Not found","[2012] Final","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_NGOF__09.11.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_received_by_NGOF_September_2013.xlsx;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Farming_Investment__07.09.2007.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_NGOF__09.11.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_received_by_NGOF_September_2013.xlsx;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Farming_Investment__07.09.2007.pdf;</ul>","2015-10-05 00:00:00","English","1"
"50","elc_gdc_75","(Cambodia) Tong Min Group Engineering","No evidence of adjustment","Chinese","54 St. 294, Sangkat Boeung Keng Kang 1, Khan Chamkar Mon, Phnom Penh, Cambodia","Agro-industry; Processing factory","Rubber;Acacia;Jatropha;Processing plant","70","7465","MAFF","MAFF","Zhang Zhen Zhong","Chinese","2008-12-08","Not found","Kratie","Kratie","Not found","Not found","Not found","<ul><li>Application for investment dated 25 May 2007 by company</li> <li>Minute dated 27 August 2007 on study and evaluation on the land concession.</li> <li>Letter No. 4976 KSK dated 06 September 2007 by Ministry of Agriculture, Forestry, and Fisheries on the request land concession 10,000 hectares located in Kratie District, Kratie Province.</li> <li>Letter No. 1326 SCN dated 13 September 2007 by Council Minister on the principle approval for 7,465 hectares of land concession.</li> <li>Letter No. 103 SBT dated 07 November 2007 by Royal Government on the full power delegation to Minister of Ministry of Agriculture, Forestry, and Forestry to sign the contract with company.</li> <li>Signed the contract on 12 November 2007 with Ministry of Agriculture, Forestry, and Fisheries.</li> <li>Minute dated 13 August 2007 on study and evaluation on border and concerned area of the land concession 7,465 hectares.</li></ul>
","Included in master plan","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Tong_Min_Group_Engineering_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Tong_Min_Group_Engineering__21.06.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Tong_Min_Group_Engineering_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Tong_Min_Group_Engineering__21.06.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"38","elc_gdc_44","30/4 Gialani Co. Ltd","No evidence of adjustment","Vietnamese","21B St. 456, Sangkat Tuol Tumpung, Khan Chamkar Mon, Phnom Penh, Cambodia","Agro-industry","Unspecified crops;Animal husbandry;Processing plant","70","9380","MAFF","MAFF","Nguyen Sinh","Vietnamese","2005-04-26","Not found","Ratanakiri","O'Ya Dav","Not found","Not found","Not found","<ul> <li>Minute on identification land concession area concerned with the people and forest area that must be protected 9,990 hectares for establishment of agricultural development zone model located Oyadao District, Ratanakiri Province, dated 26 August 2004.</li> <li>Letter No. 1309 SCN dated 15 November 2004, Council of Minister, on permission for providing land concession 9,380 hectares located in Ratanakiri Province for development of Agro-industry crops, animal husbandry and processing factory.</li> <li>Letter No. 661/254 SN dated 17 November 2004, General Arms Force, on proposal for permission to company 30/4 Gialani Company Limited for development of Agro-industry crops, animal husbandry and processing factory.</li> <li>Letter No. 5635/1987 KSK.PPK dated 07 December 2004, Ministry of Agriculture, forestry and Fisheries, on request of right from the Royal Government of Cambodia for signing contract of land concession 9,380 hectares for investment of Agro-industry crops, animal husbandry processing factory. </li> <li>Letter No. 01 SBT dated 04 April 2005, Royal Government of Cambodia, on delegation right to Minister of Agriculture, Forestry and Fisheries for signing contract with the company.</li> <li>Signed contract with Ministry of Agriculture, Forestry and Fisheries on 26 April 2005. </li> </ul>
","5 years: <ul> <li>year 1: 1,150 hectares</li> <li>year 2: 2,000 hectares</li> <li>year 3: 2,600 hectares</li> <li>year 4: 1,630 hectares</li> <li>year 5: 2,000 hectares</li> </ul>
","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Gialani_Company_Limited__21.06.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Gialani_Company_Limited__21.06.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"52","elc_gdc_80","Agri-Industrial Crops Development","No evidence of adjustment","Chinese","175 St. 155, Sangkat Tuol Tumpung 1, Khan Chamkar Mon, Phnom Penh, Cambodia","Agro-industry","Rubber;Acacia","70","7000","MAFF","MAFF","Zhang Zheng Wei","Chinese","2008-12-08","Not found","Kratie","Sambor","Sre Chis;Kbal Damrei","Not found","Not found","<ul> <li>Application for investment dated 27 November 2007 by company</li> <li>Minute dated 25 April 2008 on study and evaluation on the land concession.</li> <li>Letter No. 2453/238 KSK.NP.PK dated 16 May 2008 by Ministry of Agriculture, Forestry, and Fisheries on the request land concession 7,000 hectares located in Srae Chis and kbal Damrey Communes, Sambo District, Kratie Province.</li> <li>Letter No. 672 SCN dated 20 May 2008 by Council Minister.</li> <li>Letter No. 1994/302 KSK.NP.PK dated 11 June 2008 by Ministry of Agriculture, Forestry, and Fisheries on the request of Full Power Delegation for signing contract on 7,000 hectares.</li> <li>Letter No. 52 SBT dated 16 June 2008 by Royal Government on the full power delegation to Minister of Ministry of Agriculture, Forestry, and Forestry to sign the contract with company.</li> <li>Signed the contract on 08 December 2008 with Ministry of Agriculture, Forestry, and Fisheries.</li> </ul>","Included in master plan","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Agri-Industrial_Crops_Development_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Agri_Industrial_Crops_Development__21.06.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Agri-Industrial_Crops_Development_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Agri_Industrial_Crops_Development__21.06.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"2","elc_gdc_6","Agro Star Investment","No evidence of adjustment","Cambodian","55Eo St. 53, Group 31, Sangkat Phsar Thmei 1, Khan Doun Penh, Phnom Penh, Cambodia","Agro-industry","Cashew;Animal husbandry","70","2400","MAFF","MAFF","Sok Mony","Cambodian","1996-01-09","Not found","Kampong Cham","Cheung Prey","Not found","Not found","Not found","<ul> <li>Report on the result of survey and evaluation on activities and status of land utilization of the company for investment cashew-apple and animal husbandry in Choeng Prey District, Kampong Cham Province, dated 08 January 2004.</li> <li>Minute on the result of survey and evaluation on activities and status of land utilization of the company for investment cashew-apple and animal husbandry, dated 08 January 2004.</li> <li>Letter No. 804 SCN dated 31 May 2000, Council of Minister, on fixation of rental fee of land concession.</li> <li>Letter No. 85 LKH.KCH dated 23 June 1999, Kampong Cham Provincial Hall, on accusation of 200 families Trapeang Snor Village, Tomnup Commune, Batheay District, claimed for 300 hectares from company.</li> <li>Signed contract with Ministry of Agriculture, Forestry and Fisheries on 09 January 1996.</li> </ul>
","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/AGRO-STAR_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Agro_Star_Investment__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Agro_Star_Investment__09.01.1995.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/AGRO-STAR_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Agro_Star_Investment__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Agro_Star_Investment__09.01.1995.pdf;</ul>","2015-10-05 00:00:00","English","1"
"188","elc_gdc_261","An Mady Group Co. Ltd.","No evidence of adjustment","Cambodian","Phum Tonle Beut Leu, Khum Tonle Beut, Srok Tboung Khmum, Kampong Cham Province","Agro-industry","Rubber;Other crops","0","9993","Not found","Not found","An Mady","Cambodian","Not found","40038","Preah Vihear;Kampong Thom","Rovieng;Sandan","Not found","Not found","Beng Per Wildlife Sanctuary","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/An_Mady_Group_Co_Ltd__06.06.2014.pdf‏;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/An_Mady_Group__05.08.2010.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_128__13.08.2009.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/An_Mady_Group_Co_Ltd__06.06.2014.pdf‏;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/An_Mady_Group__05.08.2010.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_128__13.08.2009.pdf;</ul>","2015-10-05 00:00:00","English","1"
"227","elc_od_296","An Mady Group Co. Ltd. (Peam Cheang Rubber Plantation)","No evidence of adjustment","Not found","Not found","Agro-industry","Rubber","0","3689","LICADHO","Not found","An Mady","Not found","2008-09-22","Not found","Kampong Cham","Romeas Hek","Ampil;Kokir;Tras","Not found","Not found","Not found","Not found","Not found","Other data","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Licadho_Peam_Cheang_Rubber_An_Mady__08.04.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/The_Cambodia_Daily_Peam_Cheang_Rubber_An_Mady__09.06.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Licadho_Peam_Cheang_Rubber_An_Mady__08.04.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/The_Cambodia_Daily_Peam_Cheang_Rubber_An_Mady__09.06.2014.pdf;</ul>","2015-10-05 00:00:00","English","1"
"181","elc_gdc_254","An Sophy Farming (Cambodia) Co. Ltd.","No evidence of adjustment","Cambodian","Street Phoum Tonle Boeut Leu, Khum Tonle Boeut, Tboung Khmum District, Kampong Cham, Cambodia Province","Agro-industry","Unspecified crops;Animal husbandry","70","967","Not found","Not found","An Sophy","Cambodian","2007-09-07","Not found","Kampong Thom","Santuk","Kraya","Not found","Not found","Not found","Not found","[2012] Final","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_NGOF__09.11.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_received_by_NGOF_September_2013.xlsx;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/An_Sophy_Farming_Cambodia_Co_Ltd__05.06.2014..pdf‏;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/An_Sophy_Farming_Cambodia__07.09.2007.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_NGOF__09.11.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_received_by_NGOF_September_2013.xlsx;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/An_Sophy_Farming_Cambodia_Co_Ltd__05.06.2014..pdf‏;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/An_Sophy_Farming_Cambodia__07.09.2007.pdf;</ul>","2015-10-05 00:00:00","English","1"
"198","elc_gdc_267","Angkor Sugar","No evidence of adjustment","Thai","211 St. 93, Mao Tse Toung Boulevard, Sangkat Tuol Svay Prey, Khan Chamkar Mon, Phnom Penh, Cambodia","Agro-industry; Processing factory","Sugarcane;Processing plant","70","6523","MAFF","MAFF","Tai Wanakornkul","Thai","2008-02-24","Not found","Oddar Meanchey","Samraong","Koun Kriel","Not found","Not found","<ul> <li>Application for investment dated 08 March 2007 by Angkor Sugar company</li> <li>Minute dated 22 June 2007 on study and evaluation on the proposed area for sugar plantation and construction processing factory located in O Kreal Commune, Samrong District, Uddor Meanchey Province</li> <li>Letter No. 1475 SCN dated 05 October 2007 by Council Minister on the principle approval for 6,523 hectares located in O Kreal Commune, Samrong District, Uddor Meanchey Province for sugar plantation and construction processing factory</li> <li>Letter No. 84 SCN dated 21 January 2008 by Council Minister</li> <li>Letter No. 6961/593 KSK.NP.PK dated 18 December 2007 by Ministry of Agriculture, Forestry, and Fisheries on the request of Full Power Delegation for signing contract on 6,523 hectares.</li> <li>Letter No. 129 SBT dated 28 December 2007 by Royal Government on the full power delegation to Minister of Ministry of Agriculture, Forestry, and Forestry to sign the contract with Angkor Sugar company.</li> <li>Signed the contract on 24 January 2008 with Ministry of Agriculture, Forestry, and Fisheries</li> </ul>
","Included in master plan","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Angkor_Sugar_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Angkor_Sugar__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_130__23.08.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Angkor_Sugar_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Angkor_Sugar__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_130__23.08.2012.pdf;</ul>","2015-10-05 00:00:00","English","1"
"21","elc_gdc_26","Asia World Agricultural Development (Cambodia) Co. Ltd.","No evidence of adjustment","Chinese","1159, National Road 2, Sangkat Chak Angrae Leu, Khan Mean Chey, Phnom Penh, Cambodia","Agro-industry; Processing factory","Teak;Other crops;Processing plant","70","10000","MAFF","MAFF","Wan Ylu Ming","Chinese","2006-03-15","Not found","Kratie","Sambor","Not found","Not found","Not found","<ul> <li>Letter No. 1429 dated 22 December 2005 by Cabinet of Prime Minister on the permission for investment on land concession 10,000 hectares located in Sambo district, Kratie Province for replantation of Tectona Gandis.</li> <li>Letter No. 467 KSK dated 31 January 2006 by Ministry of Agriculture, Forestry, and Fisheries, on the request land concession 10,000 hectares located in Sambo district, Kratie Province for replantation of Tectona Gandis.</li> <li>Minute dated 13 January 2006 on study and evaluation on 10,000 hectares of land concession located in Sambo district, Kratie Province for replantation of Tectona Gandis.</li> <li>Letter No. 228 SCN dated 09 February 2006 by Council Minister on the principle approval for 9,800 hectares of land concession located in Sambo district, Kratie Province for replantation of Tectona Gandis.</li> <li>Letter No. 689 KSK dated 10 February 2006 by Ministry of Agriculture, Forestry, and Fisheries on the request of Full Power Delegation for signing contract on 10,000 hectares of land concession.</li> <li>Letter No. 13 SBT dated 17 February 2006 by Royal Government on the full power delegation to Minister of Ministry of Agriculture, Forestry, and Forestry to sign the contract with company.</li> <li>Receipt No. 13514 dated 15 March 2006 by National Bank of Cambodia.</li> <li>Signed the contract on 15 March 2006 with Ministry of Agriculture, Forestry, and Fisheries</li> <li>Minute dated 24 April 2006 on study, identification of boundary and concerned area of land concession 10,000 hectares located in Sambo district, Kratie Province for replantation of Tectona Gandis.</li> <li>Report of study dated 25 April 2006 on identification of boundary and concerned area of land concession 10,000 hectares located in Sambo district, Kratie Province for replantation of Tectona Gandis.</li> </ul>
","Included in master plan","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Asia_World_Agricultural_Development_Cambodia_Co_Ltd_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Asia_World_Agricultural_Development__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Asia_World_Agricultural_Development_Cambodia_Co.Ltd__15.03.2006.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Asia_World_Agricultural_Development_Cambodia_Co_Ltd_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Asia_World_Agricultural_Development__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Asia_World_Agricultural_Development_Cambodia_Co.Ltd__15.03.2006.pdf;</ul>","2015-10-05 00:00:00","English","1"
"99","elc_gdc_159","Bean Heak Investment Co. Ltd. (Chu Se)","No evidence of adjustment","Not found","Not found","Agro-industry","Rubber","0","5095","Not found","Not found","Not found","Not found","Not found","40623","Kampong Thom;Preah Vihear;Siem Reap","Not found","Not found","Not found","Beng Per Wildlife Sanctuary","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Rubber_Barons_Lores__09.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_50__21.03.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Rubber_Barons_Lores__09.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_50__21.03.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
